"Marca temporal","¿Qué opinas de los simpsons?","¿Por donde ves/veías los simpsons más seguido?","¿Pensás que deberían dejar de hacer capítulos de los simpsons?"
"2021/06/17 9:02:20 a. m. GMT-3","El mejor invento de la humanidad","Telefe","Sí"
"2021/06/17 9:02:23 a. m. GMT-3","Muy buenos","Telefe","No"
"2021/06/17 9:03:14 a. m. GMT-3","Muy buenos","Telefe","Sí"
"2021/06/17 9:03:34 a. m. GMT-3","Buenos","Fox","No"
"2021/06/17 9:06:07 a. m. GMT-3","Muy buenos","Telefe","Sí"
"2021/06/17 9:06:31 a. m. GMT-3","Muy buenos","Telefe","No"
"2021/06/17 9:07:13 a. m. GMT-3","Buenos","Fox","Sí"
"2021/06/17 9:07:26 a. m. GMT-3","Muy buenos","Fox","No"
"2021/06/17 9:12:37 a. m. GMT-3","Buenos","Telefe","Sí"
"2021/06/17 9:14:58 a. m. GMT-3","Más o menos","Fox","No"
"2021/06/17 9:15:43 a. m. GMT-3","El mejor invento de la humanidad","Fox","No"
"2021/06/17 9:22:47 a. m. GMT-3","Buenos","Telefe","Sí"
"2021/06/17 9:24:11 a. m. GMT-3","El mejor invento de la humanidad","Internet","No"
"2021/06/17 9:25:13 a. m. GMT-3","El mejor invento de la humanidad","Telefe","Sí"
"2021/06/17 9:41:54 a. m. GMT-3","El mejor invento de la humanidad","Telefe","No"
"2021/06/17 9:43:57 a. m. GMT-3","Muy buenos","Fox","No"
"2021/06/17 9:45:49 a. m. GMT-3","El mejor invento de la humanidad","Internet","Sí"
"2021/06/17 10:25:35 a. m. GMT-3","Muy buenos","Telefe","No"
"2021/06/17 10:29:00 a. m. GMT-3","Muy buenos","Telefe","No"
"2021/06/17 10:48:36 a. m. GMT-3","El mejor invento de la humanidad","Fox","No"
"2021/06/17 11:05:50 a. m. GMT-3","El mejor invento de la humanidad","Fox","No"
"2021/06/17 11:12:03 a. m. GMT-3","Muy buenos","Telefe","No"
"2021/06/17 11:15:28 a. m. GMT-3","Muy buenos","Telefe","Sí"
"2021/06/17 11:26:22 a. m. GMT-3","Buenos","Fox","No"
"2021/06/17 11:29:52 a. m. GMT-3","Muy buenos","Telefe","No"
"2021/06/17 1:00:36 p. m. GMT-3","El mejor invento de la humanidad","Internet","Sí"
"2021/06/17 3:36:48 p. m. GMT-3","Más o menos","Fox","Sí"
"2021/06/20 2:34:24 p. m. GMT-3","El mejor invento de la humanidad","Fox","No"